level,name,capital,macroregion,region
province,Gia Lai,Pleiku,Central,Central Highlands
province,Kon Tum,Kon Tum,Central,Central Highlands
province,Lâm Đồng,Đà Lạt,Central,Central Highlands
province,Đắc Lắk,Buôn Ma Thuột,Central,Central Highlands
province,Đắk Nông,Gia Nghĩa,Central,Central Highlands
province,An Giang,Long Xuyên,Southern,Mekong River Delta
province,Bạc Liêu,Bạc Liêu,Southern,Mekong River Delta
province,Bến Tre,Bến Tre,Southern,Mekong River Delta
province,Cà Mau,Cà Mau,Southern,Mekong River Delta
municipality,Cần Thơ,Ninh Kiều,Southern,Mekong River Delta
province,Hậu Giang,Vị Thanh,Southern,Mekong River Delta
province,Kiên Giang,Rạch Giá,Southern,Mekong River Delta
province,Long An,Tân An,Southern,Mekong River Delta
province,Sóc Trăng,Sóc Trăng,Southern,Mekong River Delta
province,Tiền Giang,Mỹ Tho,Southern,Mekong River Delta
province,Trà Vinh,Trà Vinh,Southern,Mekong River Delta
province,Vĩnh Long,Vĩnh Long,Southern,Mekong River Delta
province,Đồng Tháp,Cao Lãnh,Southern,Mekong River Delta
province,Hà Tĩnh,Hà Tĩnh,Central,North Central
province,Nghệ An,Vinh,Central,North Central
province,Quảng Bình,Đồng Hới,Central,North Central
province,Quảng Trị,Đông Hà,Central,North Central
province,Thanh Hóa,Thanh Hóa,Central,North Central
province,Thừa Thiên - Huế,Huế,Central,North Central
province,Bắc Giang,Bắc Giang,Northern,Northeast
province,Bắc Kạn,Bắc Kạn,Northern,Northeast
province,Cao Bằng,Cao Bằng,Northern,Northeast
province,Hà Giang,Hà Giang,Northern,Northeast
province,Lạng Sơn,Lạng Sơn,Northern,Northeast
province,Phú Thọ,Việt Trì,Northern,Northeast
province,Quảng Ninh,Hạ Long,Northern,Northeast
province,Thái Nguyên,Thái Nguyên,Northern,Northeast
province,Tuyên Quang,Tuyên Quang,Northern,Northeast
province,Hòa Bình,Hòa Bình,Northern,Northwest
province,Lai Châu,Lai Châu,Northern,Northwest
province,Lào Cai,Lào Cai,Northern,Northwest
province,Sơn La,Sơn La,Northern,Northwest
province,Yên Bái,Yên Bái,Northern,Northwest
province,Điện Biên,Điện Biên Phủ,Northern,Northwest
province,Bắc Ninh,Bắc Ninh,Northern,Red River Delta
province,Hà Nam,Phủ Lý,Northern,Red River Delta
municipality,Hà Nội,Hoàn Kiếm,Northern,Red River Delta
province,Hưng Yên,Hưng Yên,Northern,Red River Delta
province,Hải Dương,Hải Dương,Northern,Red River Delta
municipality,Hải Phòng,Hồng Bàng,Northern,Red River Delta
province,Nam Định,Nam Định,Northern,Red River Delta
province,Ninh Bình,Ninh Bình,Northern,Red River Delta
province,Thái Bình,Thái Bình,Northern,Red River Delta
province,Vĩnh Phúc,Vĩnh Yên,Northern,Red River Delta
province,Bình Thuận,Phan Thiết,Central,South Central Coast
province,Bình Định,Quy Nhon,Central,South Central Coast
province,Khánh Hòa,Nha Trang,Central,South Central Coast
province,Ninh Thuận,Phan Rang - Tháp Chàm,Central,South Central Coast
province,Phú Yên,Tuy Hòa,Central,South Central Coast
province,Quảng Nam,Tam Kỳ,Central,South Central Coast
province,Quảng Ngãi,Quảng Ngãi,Central,South Central Coast
municipality,Đà Nẵng,Hải Châu,Central,South Central Coast
province,Bà Rịa - Vũng Tàu,Bà Rịa,Southern,Southeast
province,Bình Dương,Thủ Dầu Một,Southern,Southeast
province,Bình Phước,Đồng Xoài,Southern,Southeast
municipality,Hồ Chí Minh,Quận 1,Southern,Southeast
province,Tây Ninh,Tây Ninh,Southern,Southeast
province,Đồng Nai,Biên Hòa,Southern,Southeast
