username,id,type
actions,44036562,organization
ag-grid,30720768,organization
airbnb,698437,organization
angular,139426,organization
ant-design,12101536,organization
apache,47359,organization
apollographql,17189275,organization
apple,10639145,organization
atlassian,168166,organization
auth0,2824157,organization
aws,2232217,organization
aws-samples,8931462,organization
awslabs,3299148,organization
babylonjs,4855800,organization
bbc,828722,organization
beego,3884041,organization
biomejs,140182603,organization
blackrockneurotech,10643614,organization
brainflow-dev,64225972,organization
brainjs,23732838,organization
buildspace,65048157,organization
chakra-ui,54212428,organization
chesscom,577023,organization
ckeditor,825710,organization
cli,59704711,organization
coinbase,1885080,organization
cypress-io,8908513,organization
deepseek-ai,148330874,organization
denoland,42048915,organization
docker,5429470,organization
docsifyjs,40133106,organization
dprint,64226271,organization
drizzle-team,108468352,organization
duolingo,908687,organization
elastic,6764390,organization
electron,13409222,organization
emotiv,5606723,organization
eslint,6019716,organization
eslint-community,94557945,organization
ethereum,6250754,organization
etsy,193389,organization
expo,12504344,organization
expressjs,5658226,organization
facebook,69631,organization
firebase,1335026,organization
fireship-io,46283609,organization
freecodecamp,9892522,organization
gin-gonic,7894478,organization
git,18133,organization
github,9919,organization
godotengine,6318500,organization
golang,4314092,organization
google,1342004,organization
google-gemini,161781182,organization
googlechrome,1778935,organization
googlecloudplatform,2810941,organization
gorilla,489566,organization
grafana,7195757,organization
graphql,12972006,organization
graphql-go,14210643,organization
grpc,7802525,organization
grpc-ecosystem,19352526,organization
hashgraph,31002956,organization
hashicorp,761456,organization
hasura,13966722,organization
heroui-inc,86160567,organization
homebrew,1503512,organization
honojs,98495527,organization
huggingface,25720743,organization
instructure,515326,organization
ionic-team,3171503,organization
jamovi,22629336,organization
jenkinsci,107424,organization
jest-community,32196900,organization
keepassxreboot,22534815,organization
kubernetes,13629408,organization
labstack,2624634,organization
langchain-ai,126733545,organization
leela-zero,46999504,organization
leelachesszero,39777295,organization
lichess-org,16491637,organization
material-extensions,173595216,organization
meta-llama,153379578,organization
metamask,11744586,organization
metaplex-foundation,84874526,organization
microsoft,6154722,organization
mozilla,131524,organization
mozilla-mobile,22351667,organization
mozilla-ocho,117940224,organization
mui,33663932,organization
naptha,7720173,organization
neo4j,201120,organization
neondatabase,77690634,organization
nestjs,28507035,organization
netflix,913567,organization
neuromatchacademy,63739421,organization
neurotechx,13461990,organization
nodejs,9950313,organization
nrwl,23692104,organization
nvidia,1728152,organization
nytimes,221409,organization
obsidianmd,65011256,organization
official-stockfish,7926882,organization
ollama,151674099,organization
openai,14957082,organization
openbao,152585220,organization
openbci,6003329,organization
openbci-archive,51222407,organization
opentofu,142061836,organization
oven-sh,108928776,organization
phantom-labs,78782331,organization
pingdotgg,89191727,organization
pinojs,23048140,organization
pmndrs,45790596,organization
pnpm,21320719,organization
pocketbase,101000011,organization
pokeapi,19692032,organization
postmanlabs,10251060,organization
predictive-clinical-neuroscience,52449528,organization
prisma,17219288,organization
psf,50630501,organization
pydantic,110818415,organization
pydata,1284191,organization
pypa,647025,organization
pytorch,21003710,organization
qt,159455,organization
quilljs,7089101,organization
reactjs,6412038,organization
recharts,13690587,organization
redis,1529926,organization
redocly,32099856,organization
remarkjs,16309564,organization
revel,6631594,organization
serverless,13742415,organization
shadcn-ui,139895814,organization
shopify,8085,organization
signalapp,702459,organization
socketio,10566080,organization
solana-labs,35608259,organization
solidjs,79226042,organization
sonarsource,545988,organization
spotify,251374,organization
spring-projects,317776,organization
stackblitz,28635252,organization
stanfordmlgroup,19228750,organization
storybookjs,22632046,organization
styled-components,20658825,organization
supabase,54469796,organization
superfly,22525303,organization
sveltejs,23617963,organization
swiss,7151325,organization
t3-oss,108266839,organization
tailwindlabs,67109815,organization
tanstack,72518640,organization
tensorflow,15658638,organization
trpc,78011399,organization
twitter,50278,organization
typestrong,6759814,organization
ubports,11358614,organization
uswds,35542662,organization
v8,113781,organization
valkey-io,164458127,organization
vercel,14985020,organization
vinairesearch,53032212,organization
vuejs,6128107,organization
wailsapp,39746503,organization
websockets,10721323,organization
winstonjs,9682013,organization
workos,47638084,organization
yarnpkg,22247014,organization
andrewyng,3710007,user
charfraza,61728977,user
elebumm,6053155,user
marclou,12645328,user
sabrina-aip,93457861,user
t3dotgg,6751787,user
tailwindtoolbox,43570497,user
theprimeagen,4458174,user
torvalds,1024025,user
